module,type_code,type_name,data_level,data_unit,category_big,category_mid,category_sub,description,submitter
traffic,8520010202,[拥堵]晚高峰TPI指数(交通拥堵指数),20,指数值,拥堵,TPI,交通指数,交通指数是交通拥堵指数或交通运行指数（Traffic Performance Index，即“TPI”）的简称，是综合反映道路网畅通或拥堵的概念性指数值。相当于把拥堵情况数字化。交通指数取值范围为0～10，分为五级。其中0～2、2～4、4～6、6～8、8～10分别对应“畅通”、“基本畅通”、“轻度拥堵”、“中度拥堵”、“严重拥堵”五个级别，数值越高表明交通拥堵状况越严重。,leng
traffic,8510010234,[拥堵]晚高峰(17:00-20:00)最快驾车速度,10,千米/小时,拥堵,驾车拥堵,晚高峰(17:00-20:00)最快驾车速度,区域内晚高峰(17:00-20:00)最快驾车速度，单位为千米/小时,leng
traffic,8510010238,[拥堵]晚高峰(17:00-20:00)缓行路段比例,10,%,拥堵,驾车拥堵,晚高峰(7:00-10:00)缓行路段比例,区域内晚高峰(7:00-10:00)缓行路段长度占总道路长度的比例，单位为%,leng
traffic,8510010208,[拥堵]早高峰(7:00-10:00)缓行路段比例,10,%,拥堵,驾车拥堵,早高峰(7:00-10:00)缓行路段比例,区域内早高峰(7:00-10:00)缓行路段长度占总道路长度的比例，单位为%,leng
traffic,8510010236,[拥堵]晚高峰(7:00-10:00)未知路段比例,10,%,拥堵,驾车拥堵,晚高峰(7:00-10:00)未知路段比例,区域内晚高峰(7:00-10:00)未知路段长度占总道路长度的比例，单位为%,leng
traffic,8510010209,[拥堵]早高峰(7:00-10:00)拥堵路段比例,10,%,拥堵,驾车拥堵,早高峰(7:00-10:00)拥堵路段比例,区域内早高峰(7:00-10:00)拥堵路段长度占总道路长度的比例，单位为%,leng
traffic,8510010231,[拥堵]晚高峰采样的道路条数,10,条,交通建设,道路,道路总条数,本次晚高峰采样的道路条数,leng
traffic,8510010204,[拥堵]早高峰(7:00-10:00)最快驾车速度,10,千米/小时,拥堵,驾车拥堵,早高峰(7:00-10:00)最快驾车速度,区域内早高峰(7:00-10:00)最快驾车速度，单位为千米/小时,leng
traffic,8510010205,[拥堵]早高峰(7:00-10:00)平均驾车速度,10,千米/小时,拥堵,驾车拥堵,早高峰(7:00-10:00)平均驾车速度,区域内早高峰(7:00-10:00)平均驾车速度，单位为千米/小时,leng
traffic,8510010210,[拥堵]早高峰(7:00-10:00)严重拥堵路段比例,10,%,拥堵,驾车拥堵,早高峰(7:00-10:00)严重拥堵路段比例,区域内早高峰(7:00-10:00)严重拥堵路段长度占总道路长度的比例，单位为%,leng
traffic,8510010201,[拥堵]早高峰采样的道路条数,10,条,交通建设,拥堵,道路总条数,本次早高峰采样的道路条数,leng
traffic,8510010235,[拥堵]晚高峰(17:00-20:00)平均驾车速度,10,千米/小时,拥堵,驾车拥堵,晚高峰(17:00-20:00)平均驾车速度,区域内晚高峰(17:00-20:00)平均驾车速度，单位为千米/小时,leng
traffic,8510010240,[拥堵]晚高峰(17:00-20:00)严重拥堵路段比例,10,%,拥堵,驾车拥堵,晚高峰(7:00-10:00)严重拥堵路段比例,区域内早高峰(7:00-10:00)严重拥堵路段长度占总道路长度的比例，单位为%,leng
traffic,8510010237,[拥堵]晚高峰(17:00-20:00)畅通路段比例,10,%,拥堵,驾车拥堵,晚高峰(7:00-10:00)畅通路段比例,区域内晚高峰(7:00-10:00)畅通路段长度占总道路长度的比例，单位为%,leng
traffic,8510010207,[拥堵]早高峰(7:00-10:00)畅通路段比例,10,%,拥堵,驾车拥堵,早高峰(7:00-10:00)畅通路段比例,区域内早高峰(7:00-10:00)畅通路段长度占总道路长度的比例，单位为%,leng
traffic,8510010239,[拥堵]晚高峰(17:00-20:00)拥堵路段比例,10,%,拥堵,驾车拥堵,晚高峰(7:00-10:00)拥堵路段比例,区域内晚高峰(7:00-10:00)拥堵路段长度占总道路长度的比例，单位为%,leng
traffic,8510010232,[拥堵]晚高峰采样的道路总长度,10,千米,交通建设,道路,道路总长度,本次晚高峰采样的道路总长度，单位为千米,leng
traffic,8510010202,[拥堵]早高峰采样的道路总长度,10,千米,交通建设,拥堵,道路总长度,本次早高峰采样的道路总长度，单位为千米,leng
traffic,8510010203,[拥堵]早高峰(7:00-10:00)最慢驾车速度,10,千米/小时,拥堵,驾车拥堵,早高峰(7:00-10:00)最慢驾车速度,区域内早高峰(7:00-10:00)最慢驾车速度，单位为千米/小时,leng
traffic,8520010201,[拥堵]早高峰TPI指数(交通拥堵指数),20,指数值,拥堵,TPI,交通指数,交通指数是交通拥堵指数或交通运行指数（Traffic Performance Index，即“TPI”）的简称，是综合反映道路网畅通或拥堵的概念性指数值。相当于把拥堵情况数字化。交通指数取值范围为0～10，分为五级。其中0～2、2～4、4～6、6～8、8～10分别对应“畅通”、“基本畅通”、“轻度拥堵”、“中度拥堵”、“严重拥堵”五个级别，数值越高表明交通拥堵状况越严重。,leng
traffic,8520010203,[拥堵]全天TPI(交通指数),20,指数值,拥堵,TPI,交通指数,交通指数是交通拥堵指数或交通运行指数（Traffic Performance Index，即“TPI”）的简称，是综合反映道路网畅通或拥堵的概念性指数值。相当于把拥堵情况数字化。交通指数取值范围为0～10，分为五级。其中0～2、2～4、4～6、6～8、8～10分别对应“畅通”、“基本畅通”、“轻度拥堵”、“中度拥堵”、“严重拥堵”五个级别，数值越高表明交通拥堵状况越严重。,leng
traffic,8510010233,[拥堵]晚高峰(17:00-20:00)最慢驾车速度,10,千米/小时,拥堵,驾车拥堵,晚高峰(17:00-20:00)最慢驾车速度,区域内晚高峰(17:00-20:00)最慢驾车速度，单位为千米/小时,leng
traffic,8510010206,[拥堵]早高峰(7:00-10:00)未知路段比例,10,%,拥堵,驾车拥堵,早高峰(7:00-10:00)未知路段比例,区域内早高峰(7:00-10:00)未知路段长度占总道路长度的比例，单位为%,leng
traffic,8520100204,[拥堵]早高峰(7:00-10:00)月度平均驾车速度,20,千米/小时,拥堵,驾车拥堵,早高峰(7:00-10:00)月度平均驾车速度,区域内早高峰(7:00-10:00)平均驾车速度，单位为千米/小时；按月取平均,yusheng.liu
traffic,8520100205,[拥堵]晚高峰(17:00-20:00)月度平均驾车速度,20,千米/小时,拥堵,驾车拥堵,晚高峰(17:00-20:00)月度平均驾车速度,区域内晚高峰(17:00-20:00)平均驾车速度，单位为千米/小时；按月取平均,yusheng.liu
traffic,8510101010,不知道,,,,,,,
traffic,8520010204,不知道,,,,,,,
traffic,8520010205,不知道,,,,,,,
traffic,8520010206,不知道,,,,,,,
traffic,8520010207,不知道,,,,,,,
traffic,8520010208,不知道,,,,,,,
traffic,8520010209,不知道,,,,,,,
traffic,8520010210,不知道,,,,,,,
traffic,8520010231,不知道,,,,,,,
traffic,8520010232,不知道,,,,,,,
traffic,8520010233,不知道,,,,,,,
traffic,8520010234,不知道,,,,,,,
traffic,8520010235,不知道,,,,,,,
traffic,8520010236,不知道,,,,,,,
traffic,8520010237,不知道,,,,,,,
traffic,8520010238,不知道,,,,,,,
traffic,8520010239,不知道,,,,,,,
traffic,8520010240,不知道,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
