gov_id,gov_code,gov_type,gov_name,in_city,in_province
1,110000,2,北京市,0,0
2,110101,4,东城区,1,0
3,110102,4,西城区,1,0
4,110105,4,朝阳区,1,0
5,110106,4,丰台区,1,0
6,110107,4,石景山区,1,0
7,110108,4,海淀区,1,0
8,110109,4,门头沟区,1,0
9,110111,4,房山区,1,0
10,110112,4,通州区,1,0
11,110113,4,顺义区,1,0
12,110114,4,昌平区,1,0
13,110115,4,大兴区,1,0
14,110116,4,怀柔区,1,0
15,110117,4,平谷区,1,0
16,110118,4,密云区,1,0
17,110119,4,延庆区,1,0
5024,110171,7,北京中关村国家自主创新示范区,1,0
18,120000,2,天津市,0,0
19,120101,4,和平区,18,0
20,120102,4,河东区,18,0
21,120103,4,河西区,18,0
22,120104,4,南开区,18,0
23,120105,4,河北区,18,0
24,120106,4,红桥区,18,0
25,120110,4,东丽区,18,0
26,120111,4,西青区,18,0
27,120112,4,津南区,18,0
28,120113,4,北辰区,18,0
29,120114,4,武清区,18,0
30,120115,4,宝坻区,18,0
31,120116,4,滨海新区,18,0
32,120117,4,宁河区,18,0
33,120118,4,静海区,18,0
34,120119,4,蓟州区,18,0
5023,120171,7,天津滨海高新技术产业开发区,18,0
35,130000,0,河北省,0,0
36,130100,1,石家庄市,0,35
37,130102,3,长安区,36,35
38,130104,3,桥西区,36,35
39,130105,3,新华区,36,35
40,130107,3,井陉矿区,36,35
41,130108,3,裕华区,36,35
42,130109,3,藁城区,36,35
43,130110,3,鹿泉区,36,35
44,130111,3,栾城区,36,35
45,130121,3,井陉县,36,35
46,130123,3,正定县,36,35
47,130125,3,行唐县,36,35
48,130126,3,灵寿县,36,35
49,130127,3,高邑县,36,35
50,130128,3,深泽县,36,35
51,130129,3,赞皇县,36,35
52,130130,3,无极县,36,35
53,130131,3,平山县,36,35
54,130132,3,元氏县,36,35
55,130133,3,赵县,36,35
5012,130171,6,石家庄高新技术产业开发区,36,35
56,130181,3,辛集市,36,35
57,130183,3,晋州市,36,35
58,130184,3,新乐市,36,35
59,130200,1,唐山市,0,35
60,130202,3,路南区,59,35
61,130203,3,路北区,59,35
62,130204,3,古冶区,59,35
63,130205,3,开平区,59,35
64,130207,3,丰南区,59,35
65,130208,3,丰润区,59,35
66,130209,3,曹妃甸区,59,35
68,130224,3,滦南县,59,35
69,130225,3,乐亭县,59,35
70,130227,3,迁西县,59,35
71,130229,3,玉田县,59,35
72,130281,3,遵化市,59,35
73,130283,3,迁安市,59,35
67,130284,3,滦州市,59,35
74,130300,1,秦皇岛市,0,35
75,130302,3,海港区,74,35
76,130303,3,山海关区,74,35
77,130304,3,北戴河区,74,35
78,130306,3,抚宁区,74,35
79,130321,3,青龙满族自治县,74,35
80,130322,3,昌黎县,74,35
81,130324,3,卢龙县,74,35
82,130400,1,邯郸市,0,35
83,130402,3,邯山区,82,35
84,130403,3,丛台区,82,35
85,130404,3,复兴区,82,35
86,130406,3,峰峰矿区,82,35
93,130407,3,肥乡区,82,35
94,130408,3,永年区,82,35
88,130423,3,临漳县,82,35
89,130424,3,成安县,82,35
90,130425,3,大名县,82,35
91,130426,3,涉县,82,35
