gov_id,gov_code,gov_type,full_name,in_city,in_province,gov_code_new,gov_type_new,gov_name,in_city_new,in_province_new,full_name_new,gov_code_diff,gov_type_diff,full_name_diff,in_city_diff,in_province_diff
1,110000000000.0,2,北京市,0,0,110000000000.0,2.0,北京市,0.0,0.0,北京市,1,1,1,1,1
2,110101000000.0,4,北京市|东城区,0,1,110101000000.0,4.0,东城区,0.0,1.0,北京市|东城区,1,1,1,1,1
3,110102000000.0,4,北京市|西城区,0,1,110102000000.0,4.0,西城区,0.0,1.0,北京市|西城区,1,1,1,1,1
4,110105000000.0,4,北京市|朝阳区,0,1,110105000000.0,4.0,朝阳区,0.0,1.0,北京市|朝阳区,1,1,1,1,1
5,110106000000.0,4,北京市|丰台区,0,1,110106000000.0,4.0,丰台区,0.0,1.0,北京市|丰台区,1,1,1,1,1
6,110107000000.0,4,北京市|石景山区,0,1,110107000000.0,4.0,石景山区,0.0,1.0,北京市|石景山区,1,1,1,1,1
7,110108000000.0,4,北京市|海淀区,0,1,110108000000.0,4.0,海淀区,0.0,1.0,北京市|海淀区,1,1,1,1,1
8,110109000000.0,4,北京市|门头沟区,0,1,110109000000.0,4.0,门头沟区,0.0,1.0,北京市|门头沟区,1,1,1,1,1
9,110111000000.0,4,北京市|房山区,0,1,110111000000.0,4.0,房山区,0.0,1.0,北京市|房山区,1,1,1,1,1
10,110112000000.0,4,北京市|通州区,0,1,110112000000.0,4.0,通州区,0.0,1.0,北京市|通州区,1,1,1,1,1
11,110113000000.0,4,北京市|顺义区,0,1,110113000000.0,4.0,顺义区,0.0,1.0,北京市|顺义区,1,1,1,1,1
12,110114000000.0,4,北京市|昌平区,0,1,110114000000.0,4.0,昌平区,0.0,1.0,北京市|昌平区,1,1,1,1,1
13,110115000000.0,4,北京市|大兴区,0,1,110115000000.0,4.0,大兴区,0.0,1.0,北京市|大兴区,1,1,1,1,1
14,110116000000.0,4,北京市|怀柔区,0,1,110116000000.0,4.0,怀柔区,0.0,1.0,北京市|怀柔区,1,1,1,1,1
15,110117000000.0,4,北京市|平谷区,0,1,110117000000.0,4.0,平谷区,0.0,1.0,北京市|平谷区,1,1,1,1,1
16,110118000000.0,4,北京市|密云区,0,1,110118000000.0,4.0,密云区,0.0,1.0,北京市|密云区,1,1,1,1,1
17,110119000000.0,4,北京市|延庆区,0,1,110119000000.0,4.0,延庆区,0.0,1.0,北京市|延庆区,1,1,1,1,1
18,120000000000.0,2,天津市,0,0,120000000000.0,2.0,天津市,0.0,0.0,天津市,1,1,1,1,1
19,120101000000.0,4,天津市|和平区,0,18,120101000000.0,4.0,和平区,0.0,18.0,天津市|和平区,1,1,1,1,1
20,120102000000.0,4,天津市|河东区,0,18,120102000000.0,4.0,河东区,0.0,18.0,天津市|河东区,1,1,1,1,1
21,120103000000.0,4,天津市|河西区,0,18,120103000000.0,4.0,河西区,0.0,18.0,天津市|河西区,1,1,1,1,1
22,120104000000.0,4,天津市|南开区,0,18,120104000000.0,4.0,南开区,0.0,18.0,天津市|南开区,1,1,1,1,1
23,120105000000.0,4,天津市|河北区,0,18,120105000000.0,4.0,河北区,0.0,18.0,天津市|河北区,1,1,1,1,1
24,120106000000.0,4,天津市|红桥区,0,18,120106000000.0,4.0,红桥区,0.0,18.0,天津市|红桥区,1,1,1,1,1
25,120110000000.0,4,天津市|东丽区,0,18,120110000000.0,4.0,东丽区,0.0,18.0,天津市|东丽区,1,1,1,1,1
26,120111000000.0,4,天津市|西青区,0,18,120111000000.0,4.0,西青区,0.0,18.0,天津市|西青区,1,1,1,1,1
27,120112000000.0,4,天津市|津南区,0,18,120112000000.0,4.0,津南区,0.0,18.0,天津市|津南区,1,1,1,1,1
28,120113000000.0,4,天津市|北辰区,0,18,120113000000.0,4.0,北辰区,0.0,18.0,天津市|北辰区,1,1,1,1,1
29,120114000000.0,4,天津市|武清区,0,18,120114000000.0,4.0,武清区,0.0,18.0,天津市|武清区,1,1,1,1,1
30,120115000000.0,4,天津市|宝坻区,0,18,120115000000.0,4.0,宝坻区,0.0,18.0,天津市|宝坻区,1,1,1,1,1
31,120116000000.0,4,天津市|滨海新区,0,18,120116000000.0,4.0,滨海新区,0.0,18.0,天津市|滨海新区,1,1,1,1,1
32,120117000000.0,4,天津市|宁河区,0,18,120117000000.0,4.0,宁河区,0.0,18.0,天津市|宁河区,1,1,1,1,1
33,120118000000.0,4,天津市|静海区,0,18,120118000000.0,4.0,静海区,0.0,18.0,天津市|静海区,1,1,1,1,1
34,120119000000.0,4,天津市|蓟州区,0,18,120119000000.0,4.0,蓟州区,0.0,18.0,天津市|蓟州区,1,1,1,1,1
35,130000000000.0,0,河北省,0,0,130000000000.0,0.0,河北省,0.0,0.0,河北省,1,1,1,1,1
36,130100000000.0,1,河北省|石家庄市,0,35,130100000000.0,1.0,石家庄市,0.0,35.0,河北省|石家庄市,1,1,1,1,1
37,130102000000.0,3,河北省|石家庄市|长安区,36,35,130102000000.0,3.0,长安区,36.0,35.0,河北省|石家庄市|长安区,1,1,1,1,1
38,130104000000.0,3,河北省|石家庄市|桥西区,36,35,130104000000.0,3.0,桥西区,36.0,35.0,河北省|石家庄市|桥西区,1,1,1,1,1
39,130105000000.0,3,河北省|石家庄市|新华区,36,35,130105000000.0,3.0,新华区,36.0,35.0,河北省|石家庄市|新华区,1,1,1,1,1
40,130107000000.0,3,河北省|石家庄市|井陉矿区,36,35,130107000000.0,3.0,井陉矿区,36.0,35.0,河北省|石家庄市|井陉矿区,1,1,1,1,1
41,130108000000.0,3,河北省|石家庄市|裕华区,36,35,130108000000.0,3.0,裕华区,36.0,35.0,河北省|石家庄市|裕华区,1,1,1,1,1
42,130109000000.0,3,河北省|石家庄市|藁城区,36,35,130109000000.0,3.0,藁城区,36.0,35.0,河北省|石家庄市|藁城区,1,1,1,1,1
43,130110000000.0,3,河北省|石家庄市|鹿泉区,36,35,130110000000.0,3.0,鹿泉区,36.0,35.0,河北省|石家庄市|鹿泉区,1,1,1,1,1
44,130111000000.0,3,河北省|石家庄市|栾城区,36,35,130111000000.0,3.0,栾城区,36.0,35.0,河北省|石家庄市|栾城区,1,1,1,1,1
45,130121000000.0,3,河北省|石家庄市|井陉县,36,35,130121000000.0,3.0,井陉县,36.0,35.0,河北省|石家庄市|井陉县,1,1,1,1,1
46,130123000000.0,3,河北省|石家庄市|正定县,36,35,130123000000.0,3.0,正定县,36.0,35.0,河北省|石家庄市|正定县,1,1,1,1,1
47,130125000000.0,3,河北省|石家庄市|行唐县,36,35,130125000000.0,3.0,行唐县,36.0,35.0,河北省|石家庄市|行唐县,1,1,1,1,1
48,130126000000.0,3,河北省|石家庄市|灵寿县,36,35,130126000000.0,3.0,灵寿县,36.0,35.0,河北省|石家庄市|灵寿县,1,1,1,1,1
49,130127000000.0,3,河北省|石家庄市|高邑县,36,35,130127000000.0,3.0,高邑县,36.0,35.0,河北省|石家庄市|高邑县,1,1,1,1,1
50,130128000000.0,3,河北省|石家庄市|深泽县,36,35,130128000000.0,3.0,深泽县,36.0,35.0,河北省|石家庄市|深泽县,1,1,1,1,1
51,130129000000.0,3,河北省|石家庄市|赞皇县,36,35,130129000000.0,3.0,赞皇县,36.0,35.0,河北省|石家庄市|赞皇县,1,1,1,1,1
52,130130000000.0,3,河北省|石家庄市|无极县,36,35,130130000000.0,3.0,无极县,36.0,35.0,河北省|石家庄市|无极县,1,1,1,1,1
53,130131000000.0,3,河北省|石家庄市|平山县,36,35,130131000000.0,3.0,平山县,36.0,35.0,河北省|石家庄市|平山县,1,1,1,1,1
54,130132000000.0,3,河北省|石家庄市|元氏县,36,35,130132000000.0,3.0,元氏县,36.0,35.0,河北省|石家庄市|元氏县,1,1,1,1,1
55,130133000000.0,3,河北省|石家庄市|赵县,36,35,130133000000.0,3.0,赵县,36.0,35.0,河北省|石家庄市|赵县,1,1,1,1,1
56,130181000000.0,3,河北省|石家庄市|辛集市,36,35,130181000000.0,3.0,辛集市,36.0,35.0,河北省|石家庄市|辛集市,1,1,1,1,1
57,130183000000.0,3,河北省|石家庄市|晋州市,36,35,130183000000.0,3.0,晋州市,36.0,35.0,河北省|石家庄市|晋州市,1,1,1,1,1
58,130184000000.0,3,河北省|石家庄市|新乐市,36,35,130184000000.0,3.0,新乐市,36.0,35.0,河北省|石家庄市|新乐市,1,1,1,1,1
59,130200000000.0,1,河北省|唐山市,0,35,130200000000.0,1.0,唐山市,0.0,35.0,河北省|唐山市,1,1,1,1,1
60,130202000000.0,3,河北省|唐山市|路南区,59,35,130202000000.0,3.0,路南区,59.0,35.0,河北省|唐山市|路南区,1,1,1,1,1
61,130203000000.0,3,河北省|唐山市|路北区,59,35,130203000000.0,3.0,路北区,59.0,35.0,河北省|唐山市|路北区,1,1,1,1,1
62,130204000000.0,3,河北省|唐山市|古冶区,59,35,130204000000.0,3.0,古冶区,59.0,35.0,河北省|唐山市|古冶区,1,1,1,1,1
63,130205000000.0,3,河北省|唐山市|开平区,59,35,130205000000.0,3.0,开平区,59.0,35.0,河北省|唐山市|开平区,1,1,1,1,1
64,130207000000.0,3,河北省|唐山市|丰南区,59,35,130207000000.0,3.0,丰南区,59.0,35.0,河北省|唐山市|丰南区,1,1,1,1,1
65,130208000000.0,3,河北省|唐山市|丰润区,59,35,130208000000.0,3.0,丰润区,59.0,35.0,河北省|唐山市|丰润区,1,1,1,1,1
66,130209000000.0,3,河北省|唐山市|曹妃甸区,59,35,130209000000.0,3.0,曹妃甸区,59.0,35.0,河北省|唐山市|曹妃甸区,1,1,1,1,1
67,130223000000.0,3,河北省|唐山市|滦县,59,35,130284000000.0,3.0,滦州市,59.0,35.0,河北省|唐山市|滦州市,0,1,0,1,1
68,130224000000.0,3,河北省|唐山市|滦南县,59,35,130224000000.0,3.0,滦南县,59.0,35.0,河北省|唐山市|滦南县,1,1,1,1,1
69,130225000000.0,3,河北省|唐山市|乐亭县,59,35,130225000000.0,3.0,乐亭县,59.0,35.0,河北省|唐山市|乐亭县,1,1,1,1,1
